a bat,hat,cat,bag,dad,man,has,had,that
e bed,bell,hen,leg,red,get,web,net
i pig,big,dig,hit,kid,if,this,his
o dog,fox,box,hot,not,nod,pot
u duck,bus,cup,hug,run,sun,nut,cut,but,much,bug
oo book,look,cook,good,foot,too
ee bee,sleep,sheep,see,teeth,sweep,green
oa boat,goat,soap,road,coat
ou cloud,house,mouse,round,out
ch chicken,chips,chin,chop,such,much,rich
tch switch,watch,catch,fetch,witch
sh fish,ship,sheep,short
ck duck,kick,clock,lock,neck,back
ar car,dark,park,farm,far,bar
sw swim,swing,switch,sweep,swan,sweet
tr tree,truck,train,trick,treat,try
er teacher,water,scooter,sister,under,burger
ea leaf,sea,teacher,read,eat,tea
th bath,three,throw,thumb,teeth
ow bow,blow,snow,low,slow,show,bowl,throw,yellow,window,pillow,row
dr drink,wardrobe,drum,drop,drag,dress,drip,driver
y candy,happy,sleepy,sunny,rainy
oy boy,toy,joy,oyster
aw crawl,draw,saw,paw,jaw,hawk
all ball,mall,wall,tall,fall,small,all
ng wing,sing,long,ring
wa water,wash,watch,walk
wh what,where,when,why,which
ts pants,boots,ants,cats,bats,goats
or or,for,fork,horse,short,corn,horn,pork,cord
ir bird,girl,dirty,third
ai rain,tail,wait,train,pain
an an,can,fan,and,man,candy,pants,ant,hand
un sun,under,bun,fun,gun,run
on on,con,ton,fond,pond
in in,bin,fin,kin,pin,sin,tin,win,window
en hen,then,pen,when,ten
ow cow,down,brown,how,now
ou you,four
e he,she,be,me,we
y my,by,buy,guy,shy,fly,try
Sight_words1 the,a,have,I,who,what,where,to,of,for,are,give,buy,some,only,don't
Sight_words2 do,come,one,once,two,very,said,again,from,any,many,today,together
i_e bike,like,hive,five,knife,ride,kite,driver,pipe,ice
a_e ape,grape,lake,wake,gate,plate,skate,shaver,make
o_e coke,cone,phone,bone,home,smoke,slope
u_e flute,mute,cube,use
