word,rank,frequency,pos
the,1,,a
be,2,,verb
and,3,,conjunction
of,4,,preposition
a,5,,a
a,7,,f
a,8,,conjunction
to,9,,preposition
it,10,,pronoun
i,11,,pronoun
that,12,,conjunction
you,14,,pronoun
he,15,,pronoun
with,16,,preposition
on,17,,preposition
say,19,,verb
this,20,,determiner
but,23,,conjunction
we,24,,pronoun
his,25,,a
from,26,,preposition
that,27,,determiner
not,28,,x
n't,29,,x
by,30,,preposition
she,31,,pronoun
or,32,,conjunction
as,33,,conjunction
can,37,,verb
who,38,,pronoun
if,40,,conjunction
s,42,,pronoun
all,43,,determiner
make,45,,verb
about,46,,preposition
will,48,,verb
up,50,795534,adverb
one,51,795534,number
time,52,768232,noun
there,53,764657,pronoun
year,54,784528,noun
so,55,769254,adverb
think,56,691468,verb
when,57,,conjunction
them,59,768232,pronoun
some,60,677870,determiner
me,61,674193,pronoun
people,62,784528,noun
take,63,663645,verb
out,64,670745,adverb
into,65,678603,preposition
just,66,668172,adverb
a,67,,noun
him,68,663645,pronoun
your,69,677707,a
come,70,670745,verb
could,71,628254,verb
now,72,525107,adverb
than,73,525107,conjunction
a,74,,a
other,75,517536,adjective
how,76,547799,adverb
f,77,,b
its,78,470401,a
a,79,,noun
two,80,525107,number
more,81,511027,adverb
these,82,517536,determiner
want,83,513864,verb
way,84,514972,noun
look,85,432773,verb
first,86,420170,number
also,87,463566,adverb
new,88,420781,adjective
because,89,435993,conjunction
a,90,,conjunction
more,91,432773,determiner
f,92,,h
no,93,420781,a
man,94,402222,noun
find,95,411776,verb
here,96,411776,adverb
reminiscent,97,,o
up,98,463566,a
many,99,384503,determiner
only,101,411776,adverb
those,102,379574,determiner
tell,103,378007,verb
one,104,388155,pronoun
very,105,369553,adverb
her,106,391821,pronoun
even,107,361067,adverb
back,108,361067,adverb
any,109,367844,determiner
good,110,348100,adjective
woman,111,333433,noun
through,112,341422,preposition
us,113,329409,pronoun
child,115,333085,noun
there,116,333849,adverb
work,117,333433,verb
down,118,318210,adverb
may,119,324569,verb
after,120,324569,preposition
should,121,311902,verb
over,124,303506,preposition
school,125,311902,noun
still,126,304183,adverb
try,127,296953,verb
in,128,285035,adverb
as,129,285035,adverb
last,130,275214,number
ask,131,266744,verb
need,132,284632,verb
too,133,276744,adverb
three,135,275214,number
when,136,266744,adverb
state,137,268219,noun
never,138,272193,adverb
become,139,276744,verb
between,140,264158,preposition
high,141,264158,adjective
really,142,255936,adverb
something,143,263414,pronoun
most,144,254910,adverb
another,145,246360,determiner
much,146,240646,determiner
own,148,243267,determiner
out,149,240452,preposition
leave,150,242443,verb
put,151,254910,verb
old,152,236577,adjective
while,153,236577,conjunction
mean,154,234555,verb
on,155,242198,adverb
keep,156,236980,verb
why,158,6577,adverb
let,159,234555,verb
great,160,240300,adjective
same,161,225005,determiner
big,162,222836,adjective
group,163,229435,noun
begin,164,229435,verb
seem,165,218617,verb
country,166,219627,noun
talk,168,229435,verb
where,169,218617,conjunction
turn,170,213744,verb
problem,171,214968,noun
every,172,217728,a
start,173,212739,verb
hand,174,213952,noun
might,175,225247,verb
american,176,,adjective
show,177,214968,verb
part,178,208037,noun
about,179,,adverb
against,180,208550,preposition
place,181,199268,noun
over,182,199268,adverb
such,183,208260,determiner
again,184,207065,adverb
few,185,194427,determiner
case,186,197266,noun
most,187,200773,determiner
company,189,199268,noun
system,191,194427,noun
each,192,200175,determiner
right,193,196522,adverb
program,194,187533,noun
hear,195,195985,verb
so,196,,conjunction
question,197,191893,noun
during,198,192070,preposition
work,199,,noun
play,200,187533,verb
government,201,188328,noun
run,202,191314,verb
small,203,185463,adjective
number,204,185463,noun
off,205,186005,adverb
always,206,183854,adverb
move,207,179474,verb
night,209,185463,noun
live,210,186005,verb
mr,211,,noun
point,212,177481,noun
believe,213,177481,verb
hold,214,178397,verb
today,215,177368,adverb
bring,216,,verb
happen,217,174366,verb
next,218,182714,number
without,219,176306,preposition
before,220,177368,preposition
large,221,167666,adjective
million,223,177317,number
must,224,172472,verb
home,225,171043,noun
under,226,170527,preposition
room,228,167666,noun
write,229,172472,verb
mother,230,161824,noun
area,231,164401,noun
national,232,164401,adjective
money,233,166359,noun
story,234,164794,noun
young,235,163582,adjective
month,237,164401,noun
different,238,162685,adjective
lot,239,162411,noun
right,240,169570,noun
study,241,152182,noun
book,242,174069,noun
eye,243,154013,noun
word,245,152559,noun
though,246,,conjunction
business,247,152182,noun
issue,248,154468,noun
side,249,156417,noun
kind,250,152559,noun
four,251,155032,number
head,252,160131,noun
far,253,160131,adverb
black,254,148621,adjective
long,255,142289,adjective
both,256,149050,determiner
little,257,146338,adjective
yes,259,,u
after,260,,conjunction
since,261,142289,conjunction
long,262,141264,adverb
provide,263,142007,verb
service,264,146122,noun
around,265,146122,preposition
important,267,142697,adjective
father,268,141357,noun
sit,269,,verb
away,270,147185,adverb
until,271,144713,conjunction
power,272,140819,noun
hour,273,141357,noun
game,274,146311,noun
often,275,146311,adverb
yet,276,140731,adverb
line,277,135484,noun
political,278,135986,adjective
among,280,146311,preposition
ever,281,138192,adverb
stand,282,135774,verb
bad,283,140937,adjective
lose,284,134102,verb
however,285,134102,adverb
member,286,142282,noun
pay,287,134731,verb
car,290,134102,noun
city,291,133571,noun
almost,292,132684,adverb
include,293,127907,verb
continue,294,126029,verb
set,295,126029,verb
later,296,127369,adverb
community,297,126495,noun
much,298,133057,adverb
five,300,127139,number
once,301,125571,adverb
white,302,,adjective
least,303,126495,adverb
president,304,123961,noun
learn,305,124346,verb
real,306,124346,adjective
change,307,124187,verb
team,308,,noun
minute,309,126428,noun
idea,312,124039,noun
kid,313,122140,noun
body,314,126428,noun
information,315,121354,noun
ago,317,121921,adverb
right,318,125252,adjective
lead,319,126278,verb
social,320,122691,adjective
understand,321,,verb
whether,322,121354,conjunction
back,323,121921,noun
watch,324,125252,verb
together,325,124976,adverb
follow,326,127291,verb
around,327,119425,adverb
parent,328,122789,noun
only,329,119610,adjective
stop,330,119825,verb
face,331,,noun
anything,332,127291,pronoun
create,333,120292,verb
public,334,119419,adjective
already,335,119825,adverb
speak,336,114892,verb
others,337,,noun
read,338,117842,verb
level,339,114094,noun
add,341,114892,verb
office,342,117842,noun
spend,343,114791,verb
door,344,114569,noun
health,345,117804,noun
art,347,,noun
sure,348,117851,adjective
such,349,,preposition
history,351,117804,noun
party,352,114904,noun
within,353,112962,preposition
grow,354,114599,verb
result,355,116277,noun
open,356,116277,verb
change,357,111857,noun
morning,358,112426,noun
walk,359,,verb
reason,360,113787,noun
low,361,106863,adjective
win,362,108990,verb
research,363,109720,noun
girl,364,,noun
guy,365,110409,noun
early,366,110409,adjective
before,368,108005,conjunction
moment,369,,noun
himself,370,109720,pronoun
air,371,109288,noun
teacher,372,105932,noun
force,373,116100,noun
offer,374,106879,verb
enough,375,,adverb
both,376,105880,adverb
education,377,106361,noun
across,378,,preposition
although,379,108421,conjunction
remember,380,,verb
foot,381,106879,noun
second,382,107285,number
boy,383,103621,noun
maybe,384,107447,adverb
toward,385,108421,preposition
able,386,105984,adjective
age,387,103402,noun
off,388,103402,preposition
policy,389,104122,noun
everything,390,107601,pronoun
love,391,103591,verb
process,392,100671,noun
consider,395,103650,verb
appear,396,101987,verb
actually,397,100671,adverb
buy,398,100435,verb
probably,399,101105,adverb
human,400,99754,adjective
wait,401,101224,verb
serve,402,102463,verb
die,404,100435,verb
send,405,99754,verb
expect,406,96613,verb
home,407,95566,adverb
sense,408,103613,noun
build,409,95896,verb
stay,410,96651,verb
fall,411,96933,verb
nation,413,103613,noun
plan,414,97212,noun
cut,415,95824,verb
college,416,96012,noun
interest,417,96620,noun
death,418,96620,noun
course,419,93222,adverb
someone,420,92970,pronoun
experience,421,95608,noun
behind,422,,preposition
reach,423,,verb
local,424,92375,adjective
kill,425,92970,verb
six,426,92660,number
remain,427,90571,verb
effect,428,95216,noun
use,429,95216,noun
yeah,430,96564,u
suggest,431,103389,verb
class,432,92643,noun
raise,434,,verb
care,435,96564,noun
perhaps,436,,adverb
little,437,87060,adverb
late,438,88930,adjective
hard,439,86421,adjective
field,440,87865,noun
else,441,87243,adverb
pass,442,87876,verb
sell,444,88930,verb
major,445,87865,adjective
sometimes,446,87487,adverb
require,447,84845,verb
along,448,89280,preposition
development,449,90392,noun
themselves,450,91995,pronoun
report,451,85256,verb
role,452,88138,noun
better,453,88666,adjective
economic,454,,adjective
effort,455,90392,noun
up,456,86473,preposition
decide,457,85759,verb
rate,458,84035,noun
strong,459,83677,adjective
possible,460,83677,adjective
heart,461,85084,noun
drug,462,84536,noun
show,463,86231,noun
leader,464,,noun
light,465,83677,noun
voice,466,85084,noun
wife,467,89379,noun
whole,468,83601,adjective
police,469,85880,noun
mind,470,85880,noun
finally,471,82808,adverb
return,473,87243,verb
military,475,,adjective
price,476,85152,noun
report,477,84443,noun
less,478,83174,adverb
decision,480,81338,noun
explain,481,,verb
son,482,80797,noun
hope,483,80895,verb
even,484,79513,conjunction
develop,485,79087,verb
relationship,487,81338,noun
carry,488,,verb
town,489,79513,noun
road,490,80987,noun
drive,491,80987,verb
arm,492,78334,noun
federal,494,79299,adjective
break,495,,verb
better,496,79310,adverb
difference,497,78334,noun
thank,498,82911,verb
receive,499,,verb
value,500,82942,noun
international,501,82942,adjective
building,502,81610,noun
action,503,78487,noun
full,504,80009,adjective
join,506,82942,verb
season,507,80609,noun
because,509,80009,preposition
tax,510,80713,noun
director,511,80713,noun
early,512,,adverb
position,513,75605,noun
player,514,77124,noun
agree,515,,verb
especially,516,76753,adverb
record,517,76304,noun
pick,518,77509,verb
wear,519,77197,verb
paper,520,75383,noun
special,521,75383,adjective
space,522,75298,noun
ground,523,75395,noun
form,524,74914,noun
support,525,,verb
event,526,,noun
official,527,75298,noun
whose,528,75395,determiner
matter,529,74914,noun
everyone,530,74534,pronoun
center,531,74534,noun
site,533,75887,noun
end,534,,verb
project,535,,noun
hit,536,75446,verb
base,537,73999,verb
activity,538,75887,noun
star,539,77980,noun
table,540,73063,noun
need,541,73063,noun
court,542,74877,noun
produce,543,74112,verb
eat,544,74169,verb
teach,546,73063,verb
oil,547,72668,noun
half,548,74386,determiner
situation,549,74112,noun
easy,550,72603,adjective
cost,551,73512,noun
industry,552,73512,noun
figure,553,73055,noun
face,554,74858,verb
street,555,69493,noun
image,556,,noun
itself,557,73512,pronoun
phone,558,71093,noun
either,559,71599,adverb
data,560,69497,noun
cover,561,68901,verb
quite,562,68901,adverb
picture,563,69966,noun
clear,564,70685,adjective
practice,565,68662,noun
land,567,68901,noun
recent,568,69966,adjective
describe,569,70685,verb
product,570,71377,noun
doctor,571,69446,noun
wall,572,69446,noun
patient,573,71390,noun
worker,574,72217,noun
test,576,,noun
certain,578,69387,adjective
north,579,72217,noun
love,580,68046,noun
personal,581,67917,adjective
open,582,67917,adjective
support,583,67218,noun
simply,584,69431,adverb
