word,traditional,pinyin,hsk_level
一,一,yī,1
一下儿,一下兒,yī xià r,1
一些,一些,yī xiē,1
一会儿,一會兒,yī huì r,1
一半,一半,yī bàn,1
一块儿,一塊兒,yī kuài r,1
一样,一樣,yī yàng,1
一点儿,一點兒,yī diǎn r,1
一起,一起,yī qǐ,1
一边,一邊,yī biān,1
七,七,qī,1
三,三,Sān,1
上,上,shǎng,1
上午,上午,shàng wǔ,1
上学,上學,shàng xué,1
上次,上次,shàng cì,1
上班,上班,shàng bān,1
上网,上網,shàng wǎng,1
上课,上課,shàng kè,1
上车,上車,shàng chē,1
上边,上邊,shàng bian,1
下,下,xià,1
下午,下午,xià wǔ,1
下次,下次,xià cì,1
下班,下班,xià bān,1
下课,下課,xià kè,1
下车,下車,xià chē,1
下边,下邊,xià bian,1
下雨,下雨,xià yǔ,1
不,不,bù,1
不大,不大,bù dà,1
不客气,不客氣,bù kè qi,1
不对,不對,bù duì,1
不用,不用,bù yòng,1
东,東,Dōng,1
东西,東西,dōng xī,1
东边,東邊,dōng bian,1
两,兩,liǎng,1
个,個,gě,1
中,中,Zhōng,1
中午,中午,zhōng wǔ,1
中国,中國,Zhōng guó,1
中学,中學,zhōng xué,1
中学生,中學生,zhōng xué shēng,1
中文,中文,Zhōng wén,1
中间,中間,zhōng jiān,1
九,九,jiǔ,1
也,也,Yě,1
书,書,Shū,1
书包,書包,shū bāo,1
书店,書店,shū diàn,1
买,買,mǎi,1
了,了,le,1
事,事,shì,1
二,二,èr,1
五,五,wǔ,1
人,人,rén,1
什么,什麼,shén me,1
今天,今天,jīn tiān,1
今年,今年,jīn nián,1
介绍,介紹,jiè shào,1
从,从,cóng,1
他,他,tā,1
他们,他們,tā men,1
们,們,men,1
休息,休息,xiū xi,1
会,會,huì,1
住,住,zhù,1
你,你,nǐ,1
你们,你們,nǐ men,1
做,做,zuò,1
儿子,兒子,ér zi,1
元,元,Yuán,1
先,先,xiān,1
先生,先生,xiān sheng,1
八,八,bā,1
六,六,liù,1
关,關,Guān,1
关上,關上,guān shàng,1
再,再,zài,1
再见,再見,zài jiàn,1
写,寫,xiě,1
冷,冷,Lěng,1
准备,準備,zhǔn bèi,1
几,几,jī,1
出,出,chū,1
出去,出去,chū qù,1
出来,出來,chū lái,1
分,分,fēn,1
别,別,Bié,1
别人,別人,bié ren,1
别的,別的,bié de,1
到,到,dào,1
前,前,qián,1
前天,前天,qián tiān,1
前边,前邊,qián bian,1
动,動,dòng,1
动作,動作,dòng zuò,1
包,包,Bāo,1
包子,包子,bāo zi,1
北,北,běi,1
北京,北京,Běi jīng,1
北边,北邊,běi biān,1
医生,醫生,yī shēng,1
医院,醫院,yī yuàn,1
十,十,shí,1
午饭,午飯,wǔ fàn,1
半,半,bàn,1
半天,半天,bàn tiān,1
半年,半年,bàn nián,1
南,南,Nán,1
南边,南邊,nán bian,1
去,去,qù,1
去年,去年,qù nián,1
口,口,kǒu,1
叫,叫,jiào,1
右,右,yòu,1
右边,右邊,yòu bian,1
号,號,háo,1
吃,吃,chī,1
吃饭,吃飯,chī fàn,1
同学,同學,tóng xué,1
名字,名字,míng zi,1
后,后,Hòu,1
后天,後天,hòu tiān,1
后边,後邊,hòu bian,1
吗,嗎,má,1
吧,吧,bā,1
听,听,yǐn,1
听写,聽寫,tīng xiě,1
听到,聽到,tīng dào,1
听见,聽見,tīng jiàn,1
告诉,告訴,gào sù,1
呢,呢,ne,1
和,咊,hé,1
哥,哥,gē,1
哥哥,哥哥,gē ge,1
哪,哪,nǎ,1
哪些,哪些,nǎ xiē,1
哪儿,哪兒,nǎ r,1
哪里,哪裏,nǎ lǐ,1
唱,唱,chàng,1
唱歌,唱歌,chàng gē,1
商场,商場,shāng chǎng,1
商店,商店,shāng diàn,1
喜欢,喜歡,xǐ huan,1
喝,喝,hē,1
四,四,sì,1
回,回,huí,1
回到,回到,huí dào,1
回去,回去,huí qu,1
回家,回家,huí jiā,1
回来,回來,huí lai,1
回答,回答,huí dá,1
国,國,Guó,1
国外,國外,guó wài,1
国家,國家,guó jiā,1
图书馆,圖書館,tú shū guǎn,1
在,在,zài,1
在家,在家,zài jiā,1
地,地,de,1
地上,地上,dì shang,1
地图,地圖,dì tú,1
地方,地方,dì fāng,1
地点,地點,dì diǎn,1
坏,壞,huài,1
坐,坐,Zuò,1
坐下,坐下,zuò xia,1
块,塊,kuài,1
外,外,wài,1
外国,外國,wài guó,1
外语,外語,wài yǔ,1
外边,外邊,wài bian,1
多,多,duō,1
多少,多少,duō shǎo,1
大,大,dà,1
大学,大學,Dà xué,1
大学生,大學生,dà xué shēng,1
天,天,tiān,1
天气,天氣,tiān qì,1
太,太,tài,1
女,女,nu:3,1
女人,女人,nu:3 rén,1
女儿,女兒,nu:3 ér,1
女孩儿,女孩兒,nu:3 hái r,1
女朋友,女朋友,nu:3 péng you,1
女生,女生,nu:3 shēng,1
奶,奶,nǎi,1
奶奶,奶奶,nǎi nai,1
她,她,tā,1
她们,她們,tā men,1
好,好,hǎo,1
好吃,好吃,hǎo chī,1
好听,好聽,hǎo tīng,1
好玩儿,好玩兒,hǎo wán r,1
好看,好看,hǎo kàn,1
妈,媽,mā,1
妈妈,媽媽,mā ma,1
妹,妹,mèi,1
妹妹,妹妹,mèi mei,1
姐,姐,jiě,1
姐姐,姐姐,jiě jie,1
子,子,zǐ,1
字,字,zì,1
学,學,xué,1
学习,學習,xué xí,1
学校,學校,xué xiào,1
学生,學生,xué sheng,1
学院,學院,xué yuàn,1
孩子,孩子,hái zi,1
家,傢,jiā,1
家人,家人,jiā rén,1
家里,家裡,jiā lǐ,1
对,對,duì,1
对不起,對不起,duì bu qǐ,1
小,小,xiǎo,1
小姐,小姐,xiǎo jie,1
小学,小學,xiǎo xué,1
小学生,小學生,xiǎo xué shēng,1
小孩儿,小孩兒,xiǎo hái r,1
小时,小時,xiǎo shí,1
小朋友,小朋友,xiǎo péng yǒu,1
少,少,shǎo,1
就,就,jiù,1
山,山,Shān,1
岁,嵗,suì,1
工人,工人,gōng rén,1
工作,工作,gōng zuò,1
左,左,Zuǒ,1
左边,左邊,zuǒ bian,1
差,差,chā,1
帮,幇,bāng,1
帮忙,幫忙,bāng máng,1
常,常,Cháng,1
常常,常常,cháng cháng,1
干,乹,gān,1
干什么,幹什麼,gàn shén me,1
干净,乾淨,gān jìng,1
年,年,Nián,1
床,床,chuáng,1
开,開,kāi,1
开会,開會,kāi huì,1
开玩笑,開玩笑,kāi wán xiào,1
开车,開車,kāi chē,1
弟,弟,dì,1
弟弟,弟弟,dì di,1
很,很,hěn,1
得到,得到,dé dào,1
忘,忘,wàng,1
忘记,忘記,wàng jì,1
忙,忙,máng,1
快,快,kuài,1
怎么,怎麼,zěn me,1
您,您,nín,1
想,想,xiǎng,1
慢,慢,màn,1
我,我,wǒ,1
我们,我們,wǒ men,1
房子,房子,fáng zi,1
房间,房間,fáng jiān,1
手,手,shǒu,1
手机,手機,shǒu jī,1
打,打,dá,1
打开,打開,dǎ kāi,1
打球,打球,dǎ qiú,1
打电话,打電話,dǎ diàn huà,1
打车,打車,dǎ chē,1
找,找,zhǎo,1
找到,找到,zhǎo dào,1
拿,㧱,ná,1
放,放,fàng,1
放假,放假,fàng jià,1
放学,放學,fàng xué,1
教,教,Jiào,1
教学楼,教學樓,jiào xué lóu,1
新,新,Xīn,1
新年,新年,xīn nián,1
旁边,旁邊,páng biān,1
日,日,Rì,1
日期,日期,rì qī,1
早,早,zǎo,1
早上,早上,zǎo shang,1
早饭,早飯,zǎo fàn,1
时候,時候,shí hou,1
时间,時間,shí jiān,1
明天,明天,míng tiān,1
明年,明年,míng nián,1
明白,明白,míng bai,1
星期,星期,xīng qī,1
星期天,星期天,Xīng qī tiān,1
星期日,星期日,Xīng qī rì,1
昨天,昨天,zuó tiān,1
是,是,shì,1
是不是,是不是,shì bù shì,1
晚,晚,wǎn,1
晚上,晚上,wǎn shang,1
晚饭,晚飯,wǎn fàn,1
最,㝡,zuì,1
最后,最後,zuì hòu,1
最好,最好,zuì hǎo,1
月,月,yuè,1
有,有,yǒu,1
有一些,有一些,yǒu yī xiē,1
有些,有些,yǒu xiē,1
有名,有名,yǒu míng,1
有时,有時,yǒu shí,1
有时候,有時候,yǒu shí hou,1
有用,有用,yǒu yòng,1
有的,有的,yǒu de,1
朋友,朋友,péng you,1
本,本,běn,1
本子,本子,běn zi,1
机场,機場,jī chǎng,1
机票,機票,jī piào,1
来,來,lái,1
来到,來到,lái dào,1
杯,杯,bēi,1
杯子,杯子,bēi zi,1
树,樹,shù,1
桌子,桌子,zhuō zi,1
楼,樓,Lóu,1
楼上,樓上,lóu shàng,1
楼下,樓下,lóu xià,1
次,次,cì,1
歌,歌,gē,1
正,正,zhēng,1
正在,正在,zhèng zài,1
比,比,Bǐ,1
毛,毛,Máo,1
水,水,Shuǐ,1
水果,水果,shuǐ guǒ,1
汉字,漢字,hàn zì,1
汉语,漢語,Hàn yǔ,1
汽车,汽車,qì chē,1
没,沒,méi,1
没事儿,沒事兒,méi shì r,1
没什么,沒什麼,méi shén me,1
没关系,沒關係,méi guān xi,1
没有,沒有,méi yǒu,1
洗,洗,xǐ,1
洗手间,洗手間,xǐ shǒu jiān,1
渴,渴,kě,1
火车,火車,huǒ chē,1
点,點,diǎn,1
热,熱,rè,1
爱,愛,ài,1
爱好,愛好,ài hào,1
爷爷,爺爺,yé ye,1
爸,爸,bà,1
爸爸,爸爸,bà ba,1
牛奶,牛奶,niú nǎi,1
玩儿,玩兒,wán r,1
现在,現在,xiàn zài,1
班,班,Bān,1
球,球,qiú,1
生日,生日,shēng rì,1
生气,生氣,shēng qì,1
生病,生病,shēng bìng,1
用,用,yòng,1
电,電,diàn,1
电影,電影,diàn yǐng,1
电影院,電影院,diàn yǐng yuàn,1
电脑,電腦,diàn nǎo,1
电视,電視,diàn shì,1
电视机,電視機,diàn shì jī,1
电话,電話,diàn huà,1
男,男,nán,1
男人,男人,nán rén,1
男孩儿,男孩兒,nán hái r,1
男朋友,男朋友,nán péng you,1
男生,男生,nán shēng,1
病,病,bìng,1
病人,病人,bìng rén,1
白,白,Bái,1
白天,白天,bái tiān,1
百,百,Bǎi,1
的,的,de,1
看,看,kān,1
看到,看到,kàn dào,1
看病,看病,kàn bìng,1
看见,看見,kàn jiàn,1
真,真,zhēn,1
真的,真的,zhēn de,1
着,著,zhāo,1
睡,睡,shuì,1
睡觉,睡覺,shuì jiào,1
知识,知識,zhī shi,1
知道,知道,zhī dào,1
票,票,piào,1
穿,穿,chuān,1
站,站,zhàn,1
笑,咲,xiào,1
第,第,dì,1
第二,第二,dì èr,1
等,等,děng,1
米饭,米飯,mǐ fàn,1
累,累,lěi,1
给,給,gěi,1
网上,網上,wǎng shàng,1
网友,網友,wǎng yǒu,1
老,老,lǎo,1
老人,老人,lǎo rén,1
老师,老師,lǎo shī,1
考,攷,kǎo,1
考试,考試,kǎo shì,1
肉,肉,ròu,1
能,能,Néng,1
花,花,Huā,1
茶,茶,chá,1
菜,菜,cài,1
行,行,háng,1
衣服,衣服,yī fu,1
西,西,Xī,1
西边,西邊,xī biān,1
要,要,yāo,1
见,見,jiàn,1
见面,見面,jiàn miàn,1
觉得,覺得,jué de,1
认真,認真,rèn zhēn,1
认识,認識,rèn shi,1
记,記,jì,1
记住,記住,jì zhu,1
记得,記得,jì de,1
试,試,shì,1
话,話,huà,1
说,說,shuì,1
说话,說話,shuō huà,1
请,請,qǐng,1
请假,請假,qǐng jià,1
请坐,請坐,qǐng zuò,1
请进,請進,qǐng jìn,1
请问,請問,qǐng wèn,1
读,讀,dòu,1
读书,讀書,dú shū,1
课,課,kè,1
课文,課文,kè wén,1
课本,課本,kè běn,1
谁,誰,shéi,1
谢谢,謝謝,xiè xie,1
贵,貴,guì,1
走,走,zǒu,1
走路,走路,zǒu lù,1
起,起,qǐ,1
起床,起床,qǐ chuáng,1
起来,起來,qǐ lai,1
跑,跑,páo,1
跟,跟,gēn,1
路,路,Lù,1
路上,路上,lù shang,1
路口,路口,lù kǒu,1
身上,身上,shēn shang,1
身体,身體,shēn tǐ,1
车,車,Chē,1
车上,車上,chē shàng,1
车票,車票,chē piào,1
车站,車站,chē zhàn,1
过,過,Guō,1
还,還,Huán,1
还是,還是,hái shi,1
还有,還有,hái yǒu,1
这,這,zhè,1
这些,這些,zhè xiē,1
这儿,這兒,zhè r,1
这边,這邊,zhè biān,1
这里,這裏,zhè lǐ,1
进,進,jìn,1
进去,進去,jìn qù,1
进来,進來,jìn lái,1
远,遠,yuǎn,1
送,送,sòng,1
那,那,Nā,1
那些,那些,nà xiē,1
那儿,那兒,nà r,1
那边,那邊,nà bian,1
那里,那裏,nà li,1
都,都,Dū,1
里,裏,lǐ,1
里边,裡邊,lǐ bian,1
重,重,chóng,1
重要,重要,zhòng yào,1
钱,錢,Qián,1
钱包,錢包,qián bāo,1
错,錯,Cuò,1
门,門,Mén,1
门口,門口,mén kǒu,1
门票,門票,mén piào,1
问,問,wèn,1
间,間,jiān,1
难,難,nán,1
雨,雨,yǔ,1
零,零,líng,1
非常,非常,fēi cháng,1
面包,麵包,miàn bāo,1
面条儿,麵條兒,miàn tiáo r,1
页,頁,xié,1
风,風,fēng,1
飞,飛,fēi,1
飞机,飛機,fēi jī,1
饭,飯,fàn,1
饭店,飯店,fàn diàn,1
饿,餓,è,1
马上,馬上,mǎ shàng,1
马路,馬路,mǎ lù,1
高,高,Gāo,1
高兴,高興,gāo xìng,1
鸡蛋,雞蛋,jī dàn,1
一共,一共,yī gòng,2
一定,一定,yī dìng,2
一点点,一點點,yī diǎn diǎn,2
一生,一生,yī shēng,2
一直,一直,yī zhí,2
一般,一般,yī bān,2
一路平安,一路平安,yī lù píng ān,2
