Syllable,Suggested Word,Word Pinyin,HSK Level,Frequency Rank,Has Image,Image File,Concreteness,AoA,Num Syllables,Score,approved
ban,一半,yī bàn,1,10557,Yes,half.jpg,1.72,7.4,2,-3210.54,True
bao,宝藏,bǎo zàng,4,5079,Yes,treasure.jpeg,1.62,7.6,2,-2959.79,False
bian,变化,biàn huà,1,687,Yes,change.png,2.14,4.9,2,-3026.63,True
biao,手表,shǒu biǎo,3,2323,Yes,watch.jpg,2.39,4.0,2,-2711.27,False
bie,类别,lèi bié,-,62,Yes,category.png,2.82,12.2,1,-2715.79,True
bin,宾馆,bīn guǎn,5,4892,Yes,hotel.jpg,4.00,8.3,2,-162.91,False
bu,跑步,pǎo bù,3,5221,Yes,run.png,1.43,4.0,2,-3190.98,False
cang,藏,cáng,6,4375,Yes,hide.gif,1.63,11.1,2,-1220.06,True
ce,厕所,cè suǒ,5,11150,Yes,public_toilet.jpg,1.63,7.3,1,-2958.69,True
ceng,层,céng,-,9425,Yes,layer_1.jpg,3.52,10.3,2,-2111.56,True
chai,火柴,huǒ chái,5,9620,Yes,light_a_match.gif,3.46,4.0,2,-1975.54,True
chang,长颈鹿,cháng jǐng lù,2,294,Yes,long_neck.jpg,1.71,4.2,1,-3250.57,False
chao,炒锅,chǎo guō,-,1194,Yes,wok.png,4.57,10.5,1,-2372.88,True
chen,早晨,zǎo chén,2,2366,Yes,morning.png,2.25,5.3,2,-2867.66,False
cheng,城堡,chéng bǎo,3,14331,Yes,castle.png,1.81,4.0,2,-2999.77,True
chong,瓢虫,piáo chóng,1,641,Yes,ladybug.jpg,1.75,4.0,1,-1833.44,True
chou,抽屉,chōu ti,4,1379,Yes,drawer.jpg,4.48,4.0,1,-1668.36,True
chuai,NONE,-,-,-,No,,-,-,-,-,
chuang,床,chuáng,1,516,Yes,bed.jpg,1.63,11.7,1,-1816.15,False
chui,吹灭,chuī miè,2,1493,Yes,blow_out.gif,3.74,4.0,1,-2238.35,True
chun,春天,chūn tiān,2,4359,Yes,spring.jpg,3.89,5.5,2,-2045.56,False
chuo,戳,chuō,-,-,Yes,poke.gif,-,-,-,-,True
cong,丛林,cóng lín,-,4748,Yes,jungle.jpg,4.66,4.0,2,-3091.03,True
cou,NONE,-,-,-,No,,-,-,-,-,
cu,醋,cù,-,10375,Yes,vinegar.jpg,4.89,4.0,2,-1420.46,True
cuan,蹿,cuān,-,-,Yes,scurry.png,-,-,-,-,False
cui,催眠曲,cuī mián qǔ,-,3557,Yes,lullaby.jpg,3.83,7.9,2,-471.44,True
cuo,错,cuò,1,122,Yes,wrong.jpg,1.83,5.8,1,-3275.19,False
dai,等待,děng dài,5,551,Yes,wait2.jpg,2.00,5.4,1,-2793.84,False
dan,鸡蛋,jī dàn,4,7418,Yes,eggs.jpeg,2.79,4.0,1,-2511.76,True
dang,铃铛,líng dāng,2,146,Yes,bell.jpg,2.46,7.6,1,-2841.69,False
dao,岛,dǎo,-,5583,Yes,island.jpg,4.96,4.0,2,-3290.94,True
dei,NONE,-,-,-,No,,-,-,-,-,
dian,商店,shāng diàn,1,2051,Yes,shop_store.png,4.31,4.8,2,-1943.19,False
diao,雕像,diāo xiàng,-,4151,Yes,statue.jpg,4.93,2.9,1,-2718.68,True
die,跌倒,diē dǎo,6,6754,Yes,fall2.jpg,3.71,4.0,1,-1852.82,False
ding,钉子,dīng zi,3,2163,Yes,iron_nails.jpeg,2.21,4.0,1,-2903.28,True
diu,乱丢,luàn diū,5,766,Yes,litter.png,2.25,4.0,1,-2683.42,True
